Player,Tm,G,Player-additional
Karl-Anthony Towns,MIN,74,townska01
Gary Trent Jr.,TOR,70,trentga02
P.J. Tucker,MIA,71,tuckepj01
Rayjon Tucker,TOT,5,tuckera01
Myles Turner,IND,42,turnemy01
Jonas Valančiūnas,NOP,74,valanjo01
Denzel Valentine,TOT,24,valende01
Jarred Vanderbilt,MIN,74,vandeja01
Fred VanVleet,TOR,65,vanvlfr01
Devin Vassell,SAS,71,vassede01
Gabe Vincent,MIA,68,vincega01
Nikola Vučević,CHI,73,vucevni01
Dean Wade,CLE,51,wadede01
Franz Wagner,ORL,79,wagnefr01
Moritz Wagner,ORL,63,wagnemo01
Ish Wainright,PHO,45,wainris01
Kemba Walker,NYK,37,walkeke02
Lonnie Walker IV,SAS,70,walkelo01
M.J. Walker,PHO,2,walkemj01
Tyrone Wallace,NOP,6,wallaty01
Derrick Walton,DET,3,waltode01
Brad Wanamaker,TOT,23,wanambr01
Duane Washington Jr.,IND,48,washidu02
P.J. Washington,CHO,65,washipj01
Yuta Watanabe,TOR,38,watanyu01
Lindy Waters III,OKC,25,waterli01
Tremont Waters,TOT,3,watertr01
Trendon Watford,POR,48,watfotr01
Paul Watson,OKC,9,watsopa01
Quinndary Weatherspoon,GSW,11,weathqu01
Russell Westbrook,LAL,78,westbru01
Coby White,CHI,61,whiteco01
Derrick White,TOT,75,whitede01
Hassan Whiteside,UTA,65,whiteha01
Joe Wieskamp,SAS,29,wieskjo01
Aaron Wiggins,OKC,50,wiggiaa01
Andrew Wiggins,GSW,73,wiggian01
Lindell Wigginton,MIL,19,wiggili01
Brandon Williams,POR,24,willibr03
Grant Williams,BOS,77,willigr01
Kenrich Williams,OKC,49,willike04
Lou Williams,ATL,56,willilo02
Patrick Williams,CHI,17,willipa01
Robert Williams,BOS,61,williro04
Ziaire Williams,MEM,62,willizi02
D.J. Wilson,TOR,4,wilsodj01
Dylan Windler,CLE,50,windldy01
Justise Winslow,TOT,48,winslju01
Cassius Winston,WAS,7,winstca01
Christian Wood,HOU,68,woodch01
Robert Woodard II,SAC,12,woodaro01
Delon Wright,ATL,77,wrighde01
McKinley Wright IV,MIN,5,wrighmc01
Moses Wright,TOT,4,wrighmo01
Gabe York,IND,2,yorkga01
Thaddeus Young,TOT,52,youngth01
Trae Young,ATL,76,youngtr01
Omer Yurtseven,MIA,56,yurtsom01
Cody Zeller,POR,27,zelleco01
Ivica Zubac,LAC,76,zubaciv01
